cohort,n,true_clears_correct_educational,true_clears_correct_educational_rate,safety_misses_incorrect_educational,safety_misses_incorrect_educational_rate,wasted_referrals_correct_referred,wasted_referrals_correct_referred_rate,true_catches_incorrect_referred,true_catches_incorrect_referred_rate,safety_miss_rate_within_educational,referred_fraction
val,2541,284,0.11176702085792994,1,0.0003935458480913026,2169,0.8536009445100354,87,0.03423848878394333,0.0035087719298245615,0.8878394332939787
internal_test,2542,278,0.1093627065302911,2,0.0007867820613690008,2198,0.8646734854445318,64,0.025177025963808025,0.007142857142857143,0.8898505114083399
development_external,1351,169,0.12509252405625462,1,0.0007401924500370096,904,0.6691339748334567,277,0.20503330866025166,0.0058823529411764705,0.8741672834937083
