cohort,n,pred_agreement,referral_agreement,entropy_spearman,pmax_spearman,mc5_acc,mc30_acc
val,2541,0.9964580873671782,0.9846517119244392,0.9599853749481451,0.9598111965884426,0.9634002361275088,0.9634002361275088
internal_test,2542,0.9972462627852084,0.9767899291896145,0.961473172908624,0.9610622998086965,0.970889063729347,0.9712824547600315
development_external,1351,0.9681717246484086,0.9666913397483345,0.9908052330292265,0.9896957813896833,0.7216876387860843,0.7246484085862325
