epoch,train_loss,species_loss,disease_loss,val_species_acc,val_species_f1,val_disease_acc,val_disease_f1
1,5.261480627876637,0.4442648146846611,2.408607906452804,0.9319165682802046,0.933939161577379,0.4513970877607241,0.25795864619540876
2,3.2344661073675045,0.21273136674473597,1.510867371160439,0.9791420700511609,0.9778461526144925,0.6788665879574971,0.5665985891248093
3,2.3917988468004254,0.1464788506984389,1.1226599979304175,0.9826839826839827,0.9822854154791224,0.7689885871704053,0.7078272599754728
4,1.8056315555314477,0.10562979150626278,0.8500008814574413,0.9893742621015348,0.9888703591617299,0.8276269185360094,0.7953230518951434
5,1.3596803461548772,0.08098626884349841,0.6393470391178967,0.9885871704053523,0.9880531902423101,0.8835104289649744,0.8662634461382621
6,0.9981194559838912,0.061918082731805456,0.46810068657329096,0.9913419913419913,0.9901465994821002,0.9094844549390004,0.9036643897297775
7,0.746535977538341,0.05014025420704084,0.3481978618126018,0.9913419913419913,0.990132444479258,0.9264069264069265,0.9234930846777241
8,0.5890571387511045,0.047472508804431775,0.2707923147036108,0.9909484454939,0.9901640754438388,0.928374655647383,0.9264917813776286
9,0.5055083830012554,0.04203404018948067,0.23173717153651122,0.9901613537977174,0.9889313376976263,0.9327036599763873,0.9307015081211535
10,0.40530264959372303,0.0370073806763258,0.1841476343958987,0.9929161747343566,0.9921722178674391,0.9397874852420307,0.9386319557020335
11,0.3482116584189422,0.0326499188078953,0.15778087035313862,0.9917355371900827,0.9904447924560099,0.9421487603305785,0.9423508375800618
12,0.3251911468668235,0.028255772492835188,0.14846768725063056,0.9925226288862653,0.9912678320273257,0.9559228650137741,0.9573775812682105
13,0.2808442876617087,0.027871832556334363,0.12648622764981604,0.9948839039748131,0.993955063753218,0.9456906729634003,0.9507572781206237
14,0.25518907259443846,0.021780748837153332,0.11670416158808507,0.9937032664305392,0.9928008732293648,0.9559228650137741,0.9563571662112873
15,0.2320810641392573,0.027081728577749438,0.10249966815734485,0.9937032664305392,0.9926033245062058,0.9515938606847698,0.9512963968798707
16,0.17880931301689276,0.018127636919934766,0.08034083799823907,0.9944903581267218,0.9938175877446049,0.961038961038961,0.9624194562385369
17,0.14855263179729536,0.013734806227694943,0.06740891279988537,0.9940968122786304,0.9933086329634913,0.9567099567099567,0.9593464218260993
18,0.15280960980533992,0.01483026103347548,0.06898967430136209,0.9929161747343566,0.9915836596217161,0.957103502558048,0.9596900256330145
19,0.13948515577798185,0.013454388410094133,0.06301538389997553,0.9952774498229043,0.9944505344659774,0.9598583234946871,0.9609058171580875
20,0.11344525605610956,0.011165907089430781,0.05113967468388082,0.9948839039748131,0.994135449722136,0.9590712317985045,0.9608880394190884
21,0.1076137958034543,0.013929033100564819,0.04684238134139921,0.9944903581267218,0.9936266363587002,0.9590712317985045,0.9602251802690367
22,0.110550273383138,0.014459568061811211,0.0480453525534853,0.9948839039748131,0.994135449722136,0.9563164108618654,0.9590501053941581
23,0.08746401624991455,0.008138340473095293,0.03966283759700826,0.9944903581267218,0.9936209178146388,0.9602518693427784,0.9627887523815617
24,0.07554612833747812,0.00779340871869111,0.033876359934993314,0.9948839039748131,0.994135449722136,0.9602518693427784,0.9632770400081373
25,0.10192049589618508,0.013790917844685524,0.04406478917646955,0.9929161747343566,0.9921495766438099,0.9598583234946871,0.9624791377487366
26,0.08722857886765828,0.00635393118122825,0.04043732386582298,0.9948839039748131,0.994135449722136,0.9602518693427784,0.9623023471759861
27,0.07024045758808455,0.00567621668575888,0.03228212072088842,0.9944903581267218,0.9936323196866527,0.9582841401023219,0.9606418379712109
28,0.07669278635660379,0.007044713660341135,0.03482403614057764,0.9940968122786304,0.9931235151030086,0.9618260527351437,0.9633070928911662
29,0.0626721062150483,0.007942161347175701,0.027364972328223332,0.9937032664305392,0.9926071448881105,0.9602518693427784,0.9629835383723391
30,0.06659794878654197,0.008253160109678788,0.02917239431666106,0.9944903581267218,0.9934284861307608,0.9582841401023219,0.9610606921654669
31,0.07878426473967062,0.007937017137427147,0.035423623615234025,0.9937032664305392,0.9926071448881105,0.9594647776465959,0.9620825905557213
32,0.07995733123370626,0.009001374013586295,0.03547797847943618,0.9952774498229043,0.9944581945555958,0.9594647776465959,0.961874350933271
33,0.0696368913090237,0.008581778954586426,0.03052755629622446,0.9940968122786304,0.99311720228505,0.9614325068870524,0.963455347648354
34,0.0681229680877076,0.007052224344528071,0.03053537166890307,0.9948839039748131,0.9939374302892462,0.9586776859504132,0.9607353903648168
35,0.08717183396636256,0.011528477216723789,0.0378216784049707,0.9948839039748131,0.993955063753218,0.9606454151908698,0.96279962759074
36,0.05886357593640876,0.009025047339947388,0.024919264318287407,0.9944903581267218,0.9934284861307608,0.9634002361275088,0.9652649550485873
37,0.05941944348126815,0.00653290139353411,0.026443271094105412,0.9948839039748131,0.9939374302892462,0.9602518693427784,0.9622551796340743
38,0.07068961657789698,0.007586151060025916,0.031551732809175455,0.9940968122786304,0.99311720228505,0.961038961038961,0.962816771723369
39,0.07149331688639769,0.008547943856614872,0.03147268669449913,0.9948839039748131,0.994135449722136,0.957103502558048,0.9594347409473859
40,0.05654186417304095,0.004746751038780254,0.02589755660219373,0.9956709956709957,0.9949665287477337,0.961038961038961,0.9625713741262985
41,0.07271784650499725,0.008554883085226417,0.03208148174002937,0.9948839039748131,0.9941303607166069,0.9598583234946871,0.961529529815398
42,0.060523385565102464,0.006115760892850679,0.027203812451677713,0.9956709956709957,0.9947687802449005,0.9598583234946871,0.9608469041952994
43,0.05882348858401875,0.004140617851327745,0.027341435255830705,0.9956709956709957,0.9949665287477337,0.9630066902794175,0.9644311054245472
44,0.06842494853951203,0.010728845072612517,0.028848051602825955,0.9944903581267218,0.9936266363587002,0.9618260527351437,0.9635485357766375
45,0.06919681277334569,0.011102357505410648,0.029047227566980142,0.9940968122786304,0.9931108506987455,0.9630066902794175,0.9648663404851684
46,0.05641500819637738,0.003935226049824176,0.026239891103420558,0.9940968122786304,0.99311720228505,0.9606454151908698,0.9631291292005999
